iter	Passed	Remaining
397	244532	369871
398	245157	369272
399	245753	368630
400	246346	367983
401	246936	367332
402	247517	366669
403	248180	366127
404	248768	365474
405	249357	364823
406	249962	364196
407	250555	363551
408	251151	362910
409	251746	362270
410	252330	361612
411	252931	360980
412	253598	360441
413	254187	359791
414	254774	359139
415	255366	358495
416	255959	357851
417	256564	357225
418	257151	356575
419	257743	355931
420	258340	355294
421	258921	354636
422	259512	353991
423	260099	353342
424	260697	352708
425	261287	352064
426	261884	351427
427	262495	350812
428	263095	350180
429	263696	349550
430	264291	348914
431	264886	348276
432	265498	347662
433	266081	347009
434	266666	346359
435	267262	345724
436	267857	345089
437	268446	344445
438	269038	343805
439	269640	343178
440	270282	342602
441	270924	342027
442	271562	341445
443	272170	340826
444	272795	340228
445	273414	339622
446	274011	338990
447	274654	338413
448	275262	337793
449	275861	337163
450	276484	336562
451	277142	336004
452	277764	335402
453	278362	334771
454	278989	334173
455	279612	333572
456	280233	332968
457	280835	332342
458	281441	331720
459	282070	331126
460	282701	330533
461	283333	329942
462	284005	329397
463	284678	328852
464	285360	328317
465	286016	327752
466	286685	327202
467	287352	326648
468	288005	326078
469	288641	325488
470	289284	324907
471	289931	324330
472	290582	323756
473	291247	323199
474	291884	322609
475	292529	322028
476	293175	321447
477	293834	320881
478	294445	320262
479	295069	319658
480	295661	319019
481	296260	318387
482	296851	317747
483	297524	317195
484	298148	316590
485	298737	315948
486	299318	315298
487	299912	314662
488	300521	314042
489	301120	313411
490	301708	312768
491	302290	312120
492	302927	311529
493	303513	310886
494	304103	310247
495	304690	309605
496	305289	308975
497	305894	308351
498	306491	307720
499	307080	307080
500	307665	306437
501	308264	305807
502	308869	305185
503	309511	304598
504	310095	303955
505	310687	303319
506	311270	302675
507	311866	302043
508	312460	301411
509	313060	300783
510	313646	300143
511	314232	299502
512	314833	298877
513	315430	298247
514	316020	297611
515	316614	296979
516	317198	296338
517	317790	295704
518	318376	295065
519	318964	294428
520	319553	293792
521	320146	293161
522	320736	292526
523	321321	291887
524	321912	291253
525	322498	290616
526	323098	289991
527	323680	289350
528	324272	288718
529	324867	288090
530	325468	287466
531	326055	286831
532	326644	286197
533	327228	285558
534	327894	284992
535	328481	284356
536	329075	283728
537	329662	283092
538	330250	282458
539	330842	281829
540	331443	281206
541	332031	280572
542	332624	279944
543	333213	279311
544	333813	278688
545	334399	278053
546	334998	277430
547	335595	276805
548	336263	276238
549	336849	275604
550	337441	274975
551	338029	274342
552	338672	273755
553	339257	273121
554	339844	272487
555	340468	271885
556	341065	271260
557	341651	270627
558	342250	270004
559	342864	269393
560	343485	268787
561	344078	268161
562	344662	267526
563	345265	266907
564	345858	266280
565	346446	265649
566	347039	265022
567	347633	264397
568	348226	263771
569	348837	263158
570	349421	262525
571	350013	261897
572	350609	261274
573	351206	260651
574	351805	260029
575	352393	259400
576	352989	258777
577	353589	258157
578	354174	257525
579	354760	256895
580	355351	256268
581	355939	255640
582	356530	255014
583	357130	254394
584	357719	253767
585	358310	253140
586	358899	252513
587	359479	251879
588	360064	251250
589	360655	250625
590	361246	250000
591	361836	249373
592	362437	248755
593	363045	248142
594	363635	247516
595	364231	246895
596	364841	246283
597	365432	245658
598	366031	245039
599	366657	244438
600	367270	243828
601	367865	243206
602	368456	242582
603	369130	242012
604	369720	241387
605	370305	240759
606	370897	240136
607	371488	239512
608	372143	238929
609	372755	238319
610	373352	237698
611	373945	237076
612	374533	236451
613	375120	235824
614	375730	235213
615	376329	234595
616	376931	233978
617	377515	233350
618	378102	232725
619	378695	232103
620	379288	231482
621	379904	230874
622	380509	230260
623	381117	229647
624	381711	229026
625	382299	228402
626	382887	227778
627	383492	227164
628	384097	226550
629	384700	225935
630	385292	225313
631	385893	224697
632	386499	224084
633	387104	223470
634	387688	222844
635	388293	222230
636	388891	221613
637	389481	220991
638	390061	220363
639	390650	219740
640	391277	219139
641	391868	218518
642	392457	217896
643	393041	217271
644	393645	216657
645	394235	216036
646	394823	215413
647	395409	214790
648	396001	214170
649	396603	213555
650	397190	212933
651	397807	212326
652	398406	211710
653	398998	211091
654	399606	210480
655	400189	209855
656	400772	209231
657	401371	208615
658	401967	207998
659	402560	207379
660	403166	206767
661	403759	206149
662	404349	205529
663	404955	204917
664	405542	204295
665	406129	203674
666	406724	203057
667	407313	202437
668	407903	201817
669	408503	201202
670	409103	200588
671	409706	199975
672	410297	199357
673	410903	198745
674	411501	198130
675	412102	197516
676	412699	196900
677	413372	196321
678	413972	195706
679	414560	195087
680	415153	194470
681	415739	193849
682	416330	193231
683	416917	192611
684	417510	191993
685	418099	191375
686	418694	190759
687	419288	190142
688	419888	189528
689	420481	188912
690	421062	188289
691	421666	187678
692	422257	187060
693	422857	186447
694	423471	185839
695	424103	185240
696	424711	184630
697	425302	184013
698	425924	183409
699	426543	182804
700	427153	182195
701	427746	181578
702	428333	180960
703	428991	180371
704	429581	179753
705	430170	179136
706	430752	178515
707	431349	177901
708	431940	177284
709	432550	176675
710	433188	176077
711	433791	175466
712	434423	174866
713	435028	174255
714	435612	173635
715	436211	173022
716	436806	172407
717	437396	171790
718	437982	171172
719	438578	170558
720	439238	169968
721	439822	169349
722	440415	168734
723	441023	168125
724	441611	167507
725	442202	166891
726	442790	166274
727	443379	165658
728	443977	165045
729	444565	164428
730	445151	163810
731	445751	163198
732	446349	162585
733	446934	161968
734	447517	161349
735	448107	160734
736	448710	160123
737	449322	159515
738	449912	158899
739	450514	158288
740	451118	157678
741	451730	157070
742	452319	156455
743	452904	155837
744	453504	155226
745	454098	154612
746	454693	153999
747	455305	153391
748	455899	152777
749	456505	152168
750	457094	151553
751	457685	150938
752	458295	150330
753	458920	149727
754	459509	149112
755	460094	148496
756	460681	147880
757	461284	147270
758	461891	146661
759	462487	146048
760	463085	145436
761	463681	144824
762	464274	144211
763	464890	143605
764	465486	142992
765	466094	142383
766	466705	141776
767	467320	141169
768	467927	140560
769	468520	139947
770	469119	139336
771	469713	138723
772	470301	138109
773	470895	137496
774	471497	136886
775	472087	136272
776	472676	135658
777	473287	135051
778	473887	134440
779	474494	133831
780	475088	133219
781	475695	132610
782	476295	132000
783	476889	131387
784	477483	130775
785	478072	130162
786	478668	129550
787	479261	128938
788	479861	128327
789	480454	127715
790	481043	127102
791	481642	126491
792	482230	125878
793	482823	125266
794	483411	124653
795	484018	124045
796	484611	123433
797	485227	122826
798	485815	122213
799	486407	121601
800	487033	120998
801	487659	120394
802	488247	119781
803	488907	119186
804	489503	118575
805	490093	117962
806	490684	117350
807	491283	116740
808	491878	116129
809	492472	115518
810	493065	114906
811	493657	114295
812	494253	113684
813	494848	113073
814	495456	112465
815	496049	111854
816	496653	111245
817	497244	110633
818	497833	110021
819	498422	109409
820	499019	108799
821	499606	108187
822	500198	107576
823	500788	106964
824	501378	106353
825	501975	105742
826	502557	105129
827	503146	104518
828	503733	103906
829	504336	103297
830	504934	102688
831	505521	102076
832	506109	101465
833	506721	100858
834	507315	100247
835	507940	99643
836	508537	99034
837	509130	98423
838	509747	97818
839	510403	97219
840	511000	96610
841	511599	96000
842	512199	95391
843	512786	94780
844	513376	94169
845	513975	93560
846	514570	92950
847	515163	92340
848	515752	91729
849	516343	91119
850	516940	90510
851	517532	89899
852	518119	89289
853	518708	88678
854	519310	88070
855	519898	87459
856	520484	86848
857	521076	86238
858	521665	85628
859	522276	85021
860	522866	84411
861	523469	83803
862	524070	83195
863	524670	82586
864	525256	81976
865	525842	81365
866	526437	80756
867	527032	80147
868	527648	79541
869	528241	78932
870	528844	78324
871	529450	77717
872	530039	77107
873	530637	76499
874	531228	75889
875	531830	75281
876	532435	74674
877	533035	74066
878	533630	73457
879	534249	72852
880	534838	72242
881	535434	71634
882	536027	71025
883	536618	70415
884	537213	69807
885	537811	69199
886	538412	68591
887	539009	67983
888	539616	67376
889	540221	66768
890	540815	66160
891	541410	65551
892	542012	64944
893	542617	64337
894	543221	63729
895	543825	63122
