iter	TotalF1	MultiClass
70	0.6926066793	1.02635499
71	0.6945243915	1.022439023
72	0.6956281942	1.020235169
73	0.6939613571	1.017191522
74	0.6955109385	1.013655252
75	0.6972386001	1.010382025
76	0.7005774932	1.007374575
77	0.7029071434	1.003437304
78	0.7030213031	0.9998322585
79	0.7040097872	0.9981486401
80	0.7058835371	0.9941325132
81	0.7069546455	0.9889007334
82	0.7073042581	0.9857035684
83	0.7086760845	0.9825210825
84	0.7100900161	0.9798761567
85	0.7113520978	0.977688629
86	0.7120933704	0.9746280858
87	0.7133536325	0.9708384187
88	0.7137133088	0.9683353627
89	0.7130101415	0.9657746049
90	0.7128507904	0.9626313922
91	0.7134910506	0.9606798467
92	0.7154227034	0.9589821526
93	0.7170463267	0.9567184859
94	0.7202276518	0.9535591106
95	0.7205449668	0.9510182444
96	0.7215962707	0.9467977601
97	0.7209662198	0.9438999084
98	0.7216128254	0.9406664068
99	0.723773342	0.9384240118
100	0.7250047966	0.9353038341
101	0.724841214	0.9329135797
102	0.7267401916	0.9307616248
103	0.7285864486	0.9285006308
104	0.7292704732	0.9264975062
105	0.7288070196	0.9245672292
106	0.7280261633	0.9219084471
107	0.7296679448	0.9184744711
108	0.7306402137	0.9164247308
109	0.7298807417	0.9141833349
110	0.7317724445	0.9108754647
111	0.7343510462	0.9077909248
112	0.734220745	0.9044516613
113	0.7351641634	0.9010021343
114	0.7359216728	0.8986985421
115	0.7362014669	0.8958751182
116	0.7362401186	0.8933090047
117	0.7376765548	0.8907055683
118	0.7382057921	0.8880950892
119	0.7409814807	0.8847838988
120	0.7430022948	0.8823844043
121	0.7422690695	0.8796941479
122	0.7440820392	0.8767372515
123	0.7451007617	0.874448321
124	0.7455682255	0.8719682769
125	0.7459303364	0.8690507581
126	0.7475650505	0.8668358152
127	0.7484817689	0.8626034163
128	0.7487353166	0.8594258361
129	0.7495775658	0.85566912
130	0.7494348245	0.852420404
131	0.749594329	0.8504105508
132	0.7502963682	0.8475721953
133	0.7512725709	0.8433653708
134	0.7522475316	0.8404986695
135	0.7526970168	0.8380863005
136	0.7542120918	0.836783503
137	0.7543844244	0.8339022019
138	0.753343023	0.8308775056
